Source,Target,Type
da Majani,via Indipendenza,Place
da Majani,Nino Bottecchiari,Place
Pasticceria Majani,Pasticceria Majani,Place
Pasticceria Majani,Bologna,Place
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Riccione,Riccione,Place
Riccione,Riccione,Place
Riccione,Io,Place
Riccione,mamma,Place
Riccione,Fanny,Place
Riccione,Ferrara,Place
Riccione,Ernesto,Place
Riccione,Inghilterra,Place
Riccione,Bath,Place
Riccione,Masi Torello,Place
Fadigati,Fadigati,Place
Fadigati,Deliliers,Place
Porto Corsini,Porto Corsini,Place
Porto Corsini,Punta di Pesaro,Place
Porto Corsini,Milano Marittima,Place
Porto Corsini,Cervia,Place
Porto Corsini,Hôtel Mare e Pineta,Place
Porto Corsini,Cesenatico,Place
Porto Corsini,Hôtel Britannia,Place
Porto Corsini,Viserba,Place
Porto Corsini,Rimini,Place
Porto Corsini,Riccione,Place
Porto Corsini,Cattolica,Place
Riccione,Riccione,Place
Riccione,Grand Hôtel,Place
Deliliers,Deliliers,Character
Deliliers,Caffè Zanarini,Character
Grand Hôtel,Grand Hôtel,Place
Grand Hôtel,Deliliers,Place
Grand Hôtel,Fadigati,Place
Grand Hôtel,Fadigati,Place
Grand Hôtel,Deliliers,Place
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Fadigati,Riccione,Place
Fadigati,Deliliers,Place
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,avvocato,Character
signora Lavezzoli,figli adolescenti,Character
signora Lavezzoli,femmina,Character
signora Lavezzoli,degno consorte,Character
Deliliers,Deliliers,Character
Deliliers,signora Lavezzoli,Character
Deliliers,Pisa,Character
signor dottore,signor dottore,Character
Deliliers,Deliliers,Character
Deliliers,mia madre,Character
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Deliliers,Riccione,Character
Deliliers,Italia,Character
Deliliers,signora Lavezzoli,Character
signora Lavezzoli,signora Lavezzoli,Character
signora Lavezzoli,Fadigati,Character
signora Lavezzoli,Deliliers,Character
signora Lavezzoli,Ferrara,Character
signora Lavezzoli,Fadigati,Character
